exp;video;id;mother track;daughter track(s);metaphase frame - mitosis video;cytokinesis frame - mitosis video;first MT cut frame - mitosis video;second MT cut frame - mitosis video;metaphase frame;cytokinesis frame;first MT cut frame;second MT cut frame;position midbody x;position midbody y;first MT cut time;second MT cut time;;matched cytokinesis frame;matched cut frame;matched position midbody x;matched position midbody y
EXP1;Control-3;6;16;285;1;11;NO_MID_BODY_DETECTED;NO_MID_BODY_DETECTED;184;194;NO_MID_BODY_DETECTED;NO_MID_BODY_DETECTED;-1;-1;;;;-1;-1;-1;-1
EXP1;Control-3;7;27;280;4;16;NO_MID_BODY_DETECTED;NO_MID_BODY_DETECTED;179;191;NO_MID_BODY_DETECTED;NO_MID_BODY_DETECTED;-1;-1;;;;-1;-1;-1;-1
EXP1;Control-3;8;78;276;4;12;22;23;181;189;199;200;849;920;100;110;;189;199;852;920
EXP1;Control-3;9;26;270;8;13;NEAR_BORDER;NEAR_BORDER;179;184;NEAR_BORDER;NEAR_BORDER;624;1068;;;;-1;-1;-1;-1
EXP1;Control-4;0;114;320;4;6;NO_MID_BODY_DETECTED;NO_MID_BODY_DETECTED;235;237;NO_MID_BODY_DETECTED;NO_MID_BODY_DETECTED;-1;-1;;;;-1;-1;-1;-1
EXP1;Control-4;10;24;250;9;12;TOO_SHORT_CUT;TOO_SHORT_CUT;197;200;TOO_SHORT_CUT;TOO_SHORT_CUT;501;1090;;;;200;208;498;1012
EXP1;Control-4;11;183;209;-10;6;NEAR_BORDER;NEAR_BORDER;154;170;NEAR_BORDER;NEAR_BORDER;1589;1017;;;;-1;-1;-1;-1
EXP1;Control-4;12;140;208;11;13;NO_MID_BODY_DETECTED;NO_MID_BODY_DETECTED;168;170;NO_MID_BODY_DETECTED;NO_MID_BODY_DETECTED;-1;-1;;;;-1;-1;-1;-1
EXP1;Control-4;13;187;194;7;10;24;26;158;161;175;177;1274;926;140;160;;162;175;1273;926
EXP1;Control-4;14;16;189;9;12;21;29;151;154;163;171;239;622;90;170;;154;172;264;668
EXP1;Control-4;15;147;188;8;11;NEAR_BORDER;NEAR_BORDER;150;153;NEAR_BORDER;NEAR_BORDER;973;1098;;;;-1;-1;-1;-1
EXP1;Control-4;16;42;180;6;12;TOO_SHORT_CUT;TOO_SHORT_CUT;143;149;TOO_SHORT_CUT;TOO_SHORT_CUT;824;701;;;;149;160;823;702
EXP1;Control-4;17;19;171;9;12;18;22;134;137;143;147;279;843;60;100;;137;147;306;837
EXP1;Control-4;18;12;148;-1;17;NO_MID_BODY_DETECTED;NO_MID_BODY_DETECTED;102;120;NO_MID_BODY_DETECTED;NO_MID_BODY_DETECTED;-1;-1;;;;-1;-1;-1;-1
EXP1;Control-4;19;15;143;7;11;24;28;110;114;127;131;1256;706;130;170;;114;132;1295;727
EXP1;Control-4;1;159;318,303,296;1;2;MORE_THAN_TWO_DAUGHTER_TRACKS;MORE_THAN_TWO_DAUGHTER_TRACKS;223;224;MORE_THAN_TWO_DAUGHTER_TRACKS;MORE_THAN_TWO_DAUGHTER_TRACKS;31;547;;;;-1;-1;-1;-1
EXP1;Control-4;20;9;142;8;12;25;27;110;114;127;129;479;337;130;150;;115;128;493;325
EXP1;Control-4;21;1;134;8;12;NEAR_BORDER;NEAR_BORDER;104;108;NEAR_BORDER;NEAR_BORDER;445;91;;;;109;124;388;95
EXP1;Control-4;22;14;130;-1;13;TOO_SHORT_CUT;TOO_SHORT_CUT;91;105;TOO_SHORT_CUT;TOO_SHORT_CUT;1534;696;;;;-1;-1;-1;-1
EXP1;Control-4;23;18;126,118;9;13;MORE_THAN_TWO_DAUGHTER_TRACKS;MORE_THAN_TWO_DAUGHTER_TRACKS;91;95;MORE_THAN_TWO_DAUGHTER_TRACKS;MORE_THAN_TWO_DAUGHTER_TRACKS;1441;756;;;;-1;-1;-1;-1
EXP1;Control-4;24;33;121;7;12;NEAR_BORDER;NEAR_BORDER;92;97;NEAR_BORDER;NEAR_BORDER;57;870;;;;97;109;54;896
EXP1;Control-4;25;40;108;9;12;TOO_SHORT_CUT;TOO_SHORT_CUT;83;86;TOO_SHORT_CUT;TOO_SHORT_CUT;151;1026;;;;86;99;128;1009
